lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
21742,2807,30apr2019,5412,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,3221.6956,8.0776634,0,.091616623,.25009263,.38810584,.010766045,.015712852,58,0,2,0,3199.3228,14.97845
18542,2817,31dec2018,3531,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,71456.297,11.176842,.024752475,.0097970422,.055048551,.45318469,.019672547,.12578441,59,0,1,0,16602.41,16.625059
11267,2818,31jan2019,5621,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,479.15698,6.1720281,0,.01654795,.026167983,0,.11111111,.63589048,67,1,19,0,3883.5933,15.172272
89792,2820,31mar2019,2452,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,626.50763,6.4401608,0,.091143779,.13454647,.090350926,0,.45138949,67,1,15,0,2686.8618,14.803885
86474,2829,31oct2018,3678,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,23.267258,3.147047,.033719074,.010614526,.012463103,0,.03265306,.3174912,,,,,,
60599,2884,31dec2018,4813,Telephone and Television Transmission,2018,70201.945,11.159131,0,.018370343,.05912903,.49894857,.1294964,.0074079009,64,0,26,0,32328.48,17.29146
90011,2940,31dec2018,8741,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2745.6794,7.9177837,0,.037266918,.086335696,.28869444,0,.34005347,63,1,5,0,9214.3936,16.036278
22825,2942,31jul2018,3845,"Healthcare, Medical Equipment, and Drugs",2018,730.11749,6.5932055,.0233566,.090768628,.13623524,.16022931,.0018867925,.048792392,50,1,2,0,2710.6533,14.8127
64194,2960,31dec2018,8082,"Healthcare, Medical Equipment, and Drugs",2018,854.20923,6.750176,0,.10671111,.18169016,.10999689,.0044440785,.012235602,63,0,17,0,9809.0186,16.098812
47896,2968,31dec2018,6020,Finance,2018,2352351.5,14.670926,0,.0096467473,.10643876,.19529444,.019076118,.32993397,61,1,13,0,27218.572,17.11941
